Catalog_number,Identification,Country,State,County,Locality,Collector,Date,Year,Decade,Collector_number,Sex,Age,Prep,Location_in_collections ,Beak_length_mm,Beak_width_ventral_base_mm,Anterior_nostril_tip_mm,Beak_depth_mm,Tarsus_length_mm,Wing_chord_mm,Notes
665513,Sturnus vulgaris,England,Tring,Herts,,Rothschild,,1900,1900,,M,,SKIN,lower tray 360 A 34 (Great Britain),25.3,9.02,18.85,7.31,34.53,130,
665509,Sturnus vulgaris,England,Tring,Herts,,,,1922,,,M,,SKIN,lower tray 360 A 34 (Great Britain),23.24,8.79,15.74,7.91,29.66,124.5,
665513,Sturnus vulgaris,England,Tring,Herts,,Rothschild,,1900,1900,,M,,SKIN,lower tray 360 A 34 (Great Britain),25.47,8.62,18.76,8.02,29.34,?,
665519,Sturnus vulgaris,England,Tring,Herts,,,,1894,1890,,M,,SKIN,lower tray 360 A 34 (Great Britain),26.55,8.75,19.73,7.51,30.4,127,removed from exhibition 9/83
413815,Sturnus vulgaris,England,Lympsham,Somerset,,,,1932,1900,,F,,SKIN,lower tray 360 A 34 (Great Britain),23.78,7.94,16,7.5,29.03,121.5,
665497,Sturnus vulgaris,England,Tring,Reservoirs,,,,1918,1910,,F,,SKIN,lower tray 360 A 34 (Great Britain),25.21,7.89,17.48,7.48,29.38,128,
413814,Sturnus vulgaris,England,Lympsham,Somerset,,,,1932,1930,,M,,SKIN,lower tray 360 A 34 (Great Britain),24.69,8.7,17.42,7.68,29.31,124,
665507,Sturnus vulgaris,England,Tring,Herts,,,,1914,1910,,M,,SKIN,lower tray 360 A 34 (Great Britain),24.15,8.33,16.51,7.41,29.71,129,
665556,Sturnus vulgaris,Scotland,Stirlingshire,Denovan,,G. E. Paterson,,1873,1870,,M,,SKIN,lower tray 360 A 34 (Great Britain),24.32,8.49,17.15,7.9,29.61,?,
655510,Sturnus vulgaris,England,Tring,Herts,,,,1922,1920,,M,,SKIN,lower tray 360 A 34 (Great Britain),25.3,8.39,17.52,7.34,30.43,125,
25083,Sturnus vulgaris,England,Kingsbridge,Devon,,,,,,,M,,SKIN,lower tray 360 A 34 (Great Britain),24.89,8.59,17.32,7.34,28.43,122,
665486,Sturnus vulgaris,England,Tring,Reservoirs,,,,1914,1910,,M,,SKIN,lower tray 360 A 34 (Great Britain),25.63,8.99,16.84,7.51,31.71,127.5,in full moult!
665487,Sturnus vulgaris,England,Tring,Reservoirs,,,,1914,1910,,M,,SKIN,lower tray 360 A 34 (Great Britain),26,9.23,16.89,8.11,30.32,128,in full moult!
665469,Sturnus vulgaris,England,Sussex,Chailey,,"C. Brazenor
A. Brazenor",,1889,1880,,M,,SKIN,lower tray 360 A 34 (Great Britain),24.53,8.08,16.47,7.87,30.67,130,
665549,Sturnus vulgaris,England,"Thournhaugh, Wansford, Northants",,,,,1889,1880,,M,,SKIN,lower tray 360 A 34 (Great Britain),24.77,8.27,16.66,7.5,30.15,124,
378679,Sturnus vulgaris,England,,Bedford,,,,1914,1910,,M,,SKIN,lower tray 360 A 34 (Great Britain),25.45,9.15,NA,8.67,28.6,123.5,"41293 = collectors number, nostrils rotted?"
665493,Sturnus vulgaris,England,Tring,Reservoirs,,,,1918,1910,,M,,SKIN,lower tray 360 A 34 (Great Britain),24.82,8.49,17.1,8.66,32.24,125,
378682,Sturnus vulgaris,England,Kent,"Dymchurch, Romney Marsh",,,,1920,1920,,M,,SKIN,lower tray 360 A 34 (Great Britain),25.59,8.45,15.56,9.96,30.84,120.5,
665498,Sturnus vulgaris,England,Tring,Reservoirs,,,,1918,1918,,F,,SKIN,lower tray 360 A 34 (Great Britain),22.93,8.53,16.34,7.18,30.48,123.5,
665492,Sturnus vulgaris,England,Tring,Reservoirs,,,,1918,1918,,M,,SKIN,lower tray 360 A 34 (Great Britain),23.97,9.08,16.59,7.78,29.75,129,
665521,Sturnus vulgaris,England,Tring,Herts,,Rothschild,,1893,1890,,M,,SKIN,lower tray 360 A 34 (Great Britain),23.32,8.14,16.75,7.43,30,126,
665494,Sturnus vulgaris,England,"Reservoirs, Tring, Herts",,,,,,,,M,,SKIN,lower tray 360 A 34 (Great Britain),23.98,9.12,17.13,7.47,30.33,129,
665520,Sturnus vulgaris,England,Tring,Herts,,,,,,,M,,SKIN,lower tray 360 A 34 (Great Britain),24.22,8.07,16.55,NA,28.6,125,
665496,Sturnus vulgaris,England,Tring,Herts,,,,1921,1920,,F,,SKIN,lower tray 360 A 35 (Great Britain),25.29,8.43,17.24,7.26,27.75,127,
378681,Sturnus vulgaris,England,Devon,,,,,,,,M,,SKIN,lower tray 360 A 35 (Great Britain),23.32,7.91,16.06,8.36,28.36,128,
665500,Sturnus vulgaris,England,"Wilstone Reservoirs, Tring, Herts",,,J. Street,,,,,NA,,SKIN,lower tray 360 A 35 (Great Britain),26.24,8.16,18.11,6.97,28.82,125,
665480,Sturnus vulgaris,England ,"Wells, Somerset",,,S. Lewis,,,,,,,SKIN,lower tray 360 A 35 (Great Britain),NO Date,NO Date,NO Date,NO Date,NO Date,NO Date,
665504,Sturnus vulgaris,England ,"Tring, Herts",,,,,,,,M,,SKIN,lower tray 360 A 35 (Great Britain),23.95,7.12,17.29,6.85,30.32,130,
665478,Sturnus vulgaris,England ,Eton,,,"E. Gurney
R. Gurney",,,,,F,,SKIN,lower tray 360 A 35 (Great Britain),25.82,8.04,18.56,NA,30.74,126,
665485,Sturnus vulgaris,England,"Reservoirs, Tring, Herts",,,,,,,,M,,SKIN,lower tray 360 A 35 (Great Britain),24.21,8.89,16.61,8.36,29.34,126,
665484,Sturnus vulgaris,England,"Tring Park, Herts",,,E. Hartert,,,,,M,,SKIN,lower tray 360 A 35 (Great Britain),25.43,9.16,17.85,7.54,30.86,125,
54502,Sturnus vulgaris,England,Kingsbridge,,,R. P. Nicholls,13 Feb 1878,1878,,,M,,SKIN,lower tray 360 A 35 (Great Britain),23.42,7.9,17.46,7.79,29.94,123,
665489,Sturnus vulgaris,England,"Reservoirs, Tring, Herts",,,N. C. Rothschild,26-Dec-21,1921,,,M,,SKIN,lower tray 360 A 35 (Great Britain),23.6,7.68,16.24,7.15,27.66,124,
665490,Sturnus vulgaris,England,"Reservoirs, Tring, Herts",,,N. C. Rothschild,27-Dec-21,1921,,,M,,SKIN,lower tray 360 A 35 (Great Britain),25.21,7.52,17.5,7.71,30.79,125,
54499,Sturnus vulgaris,England,Kingsbridge,,,R. P. Nicholls,26 Dec 1877,1877,,,F,,SKIN,lower tray 360 A 35 (Great Britain),25.08,8.76,17.73,7.69,32.1,125,
