,,Museum,,Species,Phylum,Class,Order,Family,Collector,Continent,Country,State,County,Locality,Sex,,,Latitude,Longitude,,,Date,Year,,Location_in_collections ,Beak_length_mm,Beak_width_ventral_base_mm,Anterior_nostril_tip_mm,Beak_depth_mm,Tarsus_length_mm,Wing_chord_mm,Notes
111651,904569,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. J. Franzen,North America,USA,Illinois,Cook Co,Chicago,,No,904569,41.8327,-87.6654,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1939-05-26,1939,||||| nestling,,,,,,,,
151884,945204,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. V. Hembree,North America,USA,Georgia,Fulton Co,Roswell,Male,No,945204,34.0232,-84.3616,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1928-05-29,1928,,,,,,,,,
151885,945205,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. V. Hembree,North America,USA,Georgia,Fulton Co,Roswell,Male,No,945205,34.0232,-84.3616,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1929-12-10,1929,,,,,,,,,
151886,945206,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,H. H. Kimball,North America,USA,Texas,Matagorda Co,Matagorda,Male,No,945206,28.6913,-95.9672,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1940-01-12,1940,,,,,,,,,
151887,945207,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,H. H. Kimball,North America,USA,Texas,Matagorda Co,Matagorda,Female,No,945207,28.6913,-95.9672,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1935-12-27,1935,,,,,,,,,
155486,948826,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,L. Rosenthal,North America,USA,Illinois,Cook Co,Des Plaines,Male,No,948826,42.0333,-87.8834,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1947-02-16,1947,,,,,,,,,
185143,991581,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. J. Franzen,North America,USA,Illinois,Cook Co,Chicago,Female,No,991581,41.8327,-87.6654,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1938-10-04,,,"cabinet 478, shelf 12th from top",24.62,7.66,17.75,6.44,30.13,125,
255114,1508451,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,T. Wright,North America,USA,Illinois,Kane Co,Elgin,Male,No,1508451,42.0372,-88.2812,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1946-05-14,,,"cabinet 478, shelf 11th from top",23.67,8.86,17.32,8.15,29.76,121,
255115,1508452,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,T. Wright,North America,USA,Illinois,Kane Co,Elgin,Male,No,1508452,42.0372,-88.2812,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1945-06-04,,,"cabinet 478, shelf 10th from top",27.76,8.39,20.39,7.82,30.13,124,
255116,1508453,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,T. Wright,North America,USA,Illinois,Kane Co,Elgin,Male,No,1508453,42.0372,-88.2812,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1947-10-25,,,"cabinet 478, shelf 12th from top",27.45,8.24,20.15,8.12,29.86,127,
255117,1508454,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,T. Wright,North America,USA,Illinois,Kane Co,Elgin,Female,No,1508454,42.0372,-88.2812,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1946-08-18,,,,,,,,,,
